,time,language,source,group,hashtag
0,2019-09-07 01:21:50,th,Twitter for iPhone,1 am,['KCON2019THAILAND']
1,2019-09-07 01:22:05,und,Twitter for Android,1 am,[]
2,2019-09-07 01:22:23,th,Twitter for Android,1 am,"['ZEYU', 'เจ๋ออวี่', 'BOYSTORY', 'KCON2019THAILAND', 'KCON19TH']"
3,2019-09-07 01:23:35,th,Twitter for Android,1 am,"['KIMJAEHWAN', 'KCONTHAILAND2019', 'KCON19TH', 'SeoulStreetFestivalTH']"
4,2019-09-07 01:23:49,th,Twitter for Android,1 am,"['GOT7', 'KCONTHAILAND2019', 'KCON2019THAILAND', 'ตลาดนัดอากาซ่', 'KCON19TH']"
5,2019-09-07 01:23:51,und,Twitter for iPhone,1 am,"['รองเท้าadidas', 'รองเท้ามือสองของแท้', 'รองเท้าผ้าใบ', 'เกียมอุดม', 'โยธินมรณะ', 'ส่งต่อเสื้อผ้า', 'เครื่องสําอางเกาหลี']"
6,2019-09-07 01:24:01,th,Twitter for iPhone,1 am,['EXplOrationinBKK']
7,2019-09-07 01:24:03,en,Twitter for Android,1 am,"['KCON2019THAILAND', 'TwitterBlueroom', 'THEBOYZ']"
8,2019-09-07 01:24:13,en,Twitter for Android,1 am,"['KCON2019THAILAND', 'TwitterBlueroom', 'HiPrae']"
9,2019-09-07 01:24:18,th,Twitter for Android,1 am,"['Straykids', 'KCONTHAILAND2019', 'KCON2019THAILAND']"
10,2019-09-07 01:24:34,th,Twitter for iPhone,1 am,"['BTS', 'got7', 'ไม่ดราม่านะจ๊ะ']"
11,2019-09-07 01:24:37,th,Twitter for Android,1 am,"['X1', 'X1_Debut', 'X1_FLAϟH', 'KCON2019Thailand']"
12,2019-09-07 01:26:02,th,Twitter for iPhone,1 am,['KCON2019THAILAND']
13,2019-09-07 01:26:03,en,Twitter for Android,1 am,"['X1', 'KCON2019THAILAND', 'MarketerK', 'MCDxKCON', 'KCON2019']"
14,2019-09-07 01:26:19,th,Twitter for Android,1 am,['KCON2019THAILAND']
15,2019-09-07 01:26:38,th,Twitter for Android,1 am,[]
16,2019-09-07 01:26:45,th,Twitter for Android,1 am,['KCON2019THAILAND']
17,2019-09-07 01:26:55,th,Twitter for iPhone,1 am,"['นัดรับ', 'บัตรแข็ง', 'KCON2019THAILAND']"
18,2019-09-07 01:27:00,th,Twitter for Android,1 am,"['โปรเจคเด็กหลง', 'StrayKids', 'KCON2019THAILAND']"
19,2019-09-07 01:27:28,th,Twitter for iPhone,1 am,['KCON2019THAILAND']
20,2019-09-07 01:27:31,en,Twitter for iPhone,1 am,[]
21,2019-09-07 01:27:33,th,Twitter for Android,1 am,[]
22,2019-09-07 01:27:36,th,Twitter for Android,1 am,['KCON2019THAILAND']
23,2019-09-07 01:29:01,th,Twitter for Android,1 am,['KCON2019THAILAND']
24,2019-09-07 01:29:44,th,Twitter for Android,1 am,[]
25,2019-09-07 01:29:52,th,Twitter for iPhone,1 am,['KCON2019THAILAND']
26,2019-09-07 01:30:11,fr,Twitter for Android,1 am,['Nichkhun']
27,2019-09-07 01:30:16,en,Twitter for Android,1 am,"['KCON2019THAILAND', 'TwitterBlueroom', 'HiPrae']"
28,2019-09-07 01:31:49,en,Twitter for Android,1 am,"['KCON2019THAILAND', 'TwitterBlueroom', 'THEBOYZ']"
29,2019-09-07 01:33:06,en,Twitter for Android,1 am,[]
30,2019-09-07 01:33:17,th,Twitter Web Client,1 am,"['KCON2019THAILAND', 'X1']"
31,2019-09-07 01:34:27,th,Twitter for iPhone,1 am,[]
32,2019-09-07 01:35:08,en,Twitter for iPhone,1 am,[]
33,2019-09-07 01:35:13,th,Twitter for iPhone,1 am,"['KCON2019THAILAND', 'GOT7', 'Mark', 'KCON19TH', 'GOT7_KCON']"
34,2019-09-07 01:35:19,th,Twitter for Android,1 am,[]
35,2019-09-07 01:36:21,en,Twitter for Android,1 am,[]
36,2019-09-07 01:37:26,en,Twitter for Android,1 am,"['X1', 'KCON2019THAILAND', 'MarketerK', 'MCDxKCON', 'KCON2019']"
37,2019-09-07 01:37:28,th,Twitter for iPhone,1 am,['KCON2019THAILAND']
38,2019-09-07 01:38:27,th,Twitter for Android,1 am,"['KCON2019THAILAND', 'GOT7', 'Mark', 'KCON19TH', 'GOT7_KCON']"
39,2019-09-07 01:38:38,und,Twitter for Android,1 am,[]
40,2019-09-07 01:38:55,en,Twitter for Android,1 am,"['X1', 'KCON2019THAILAND', 'MarketerK', 'MCDxKCON', 'KCON2019']"
41,2019-09-07 01:39:06,th,Twitter for Android,1 am,['KCON2019THAILAND']
42,2019-09-07 01:39:19,th,Twitter for Android,1 am,"['KCON2019THAILAND', 'GOT7', 'KCON19TH']"
43,2019-09-07 01:39:20,th,Twitter for Android,1 am,[]
44,2019-09-07 01:39:47,th,Twitter for Android,1 am,[]
45,2019-09-07 01:40:22,und,Twitter for Android,1 am,"['JINHYUKHAEinThailand', 'EXplOrationinBKK', 'ตลาดนัดเอ็กโซ', 'ตลาดนัดEXO', 'ตลาดนัดเอ็กโซแอล', 'JAYPARKSEXY4EVAINBKK', 'KCRUSH2019']"
46,2019-09-07 01:41:06,th,Twitter for Android,1 am,"['TofuPOPVote', 'ateez']"
47,2019-09-07 01:42:11,th,Twitter for iPhone,1 am,[]
48,2019-09-07 01:43:20,th,Twitter for Android,1 am,['KCON2019THAILAND']
49,2019-09-07 01:43:33,th,Twitter for Android,1 am,"['KCON2019THAILAND', 'THEBOYZ', 'KCON19TH']"
50,2019-09-07 01:44:05,th,Twitter for iPhone,1 am,"['EXOplOrationinbkk', 'KCONTHAILAND2019', 'ตลาดนัดexo', 'ตลาดนัดnct', 'ตลาดนัดrvv']"
51,2019-09-07 01:44:07,th,Twitter for iPhone,1 am,"['EXOplOrationinbkk', 'KCONTHAILAND2019', 'ตลาดนัดexo']"
52,2019-09-07 01:44:09,th,Twitter for iPhone,1 am,"['EXOplOrationinbkk', 'KCONTHAILAND2019', 'ตลาดนัดexo']"
53,2019-09-07 01:44:11,th,Twitter for iPhone,1 am,"['EXOplOrationinbkk', 'KCONTHAILAND2019', 'ตลาดนัดexo', 'ตลาดนัดnct', 'ตลาดนัดrvv']"
54,2019-09-07 01:44:13,th,Twitter for iPhone,1 am,"['EXOplOrationinbkk', 'KCONTHAILAND2019', 'ตลาดนัดexo', 'ตลาดนัดnct']"
55,2019-09-07 01:44:14,en,Twitter Web App,1 am,[]
56,2019-09-07 01:44:19,th,Twitter for iPhone,1 am,"['EXOplOrationinbkk', 'KCONTHAILAND2019', 'ตลาดนัดexo']"
57,2019-09-07 01:44:21,th,Twitter for iPhone,1 am,['EXOplOrationinbkk']
58,2019-09-07 01:44:24,en,Twitter for Android,1 am,"['KCON2019THAILAND', 'TwitterBlueroom', 'THEBOYZ']"
59,2019-09-07 01:44:34,en,Twitter Web App,1 am,"['SongSongCouple', 'ทฤษฎีจีบเธอEP4', 'KCON2019THAILAND', 'OrnBNK48', 'Golfing', 'Golfshot', 'golfer', 'golferslife']"
60,2019-09-07 01:44:55,th,Twitter for iPhone,1 am,"['KCONTHAILAND2019', 'kconthailand', 'KCON2019THAILAND']"
61,2019-09-07 01:45:11,en,Twitter for Android,1 am,"['KCON2019THAILAND', 'TwitterBlueroom', 'HiPrae']"
62,2019-09-07 01:45:58,en,Twitter for Android,1 am,"['KCON2019THAILAND', 'TwitterBlueroom', 'THEBOYZ']"
63,2019-09-07 01:46:01,en,Twitter for Android,1 am,"['KCON2019THAILAND', 'TwitterBlueroom', 'HiPrae']"
64,2019-09-07 01:46:08,th,Twitter for iPhone,1 am,['โปรเจคเด็กหลง']
65,2019-09-07 01:47:15,th,Twitter Web App,1 am,[]
66,2019-09-07 01:47:26,th,Twitter for iPhone,1 am,[]
67,2019-09-07 01:48:40,und,Twitter for iPhone,1 am,[]
68,2019-09-07 01:48:55,th,Twitter for iPhone,1 am,"['KCON2019THAILAND', 'KCON19TH']"
69,2019-09-07 01:49:28,th,Twitter for iPhone,1 am,['EXOplOrationinbkk']
70,2019-09-07 01:49:44,th,Twitter for Android,1 am,['สุ่มแจก']
71,2019-09-07 01:50:13,th,Twitter for Android,1 am,"['KCON2019THAILAND', 'GOT7', 'KCON19TH']"
72,2019-09-07 01:50:32,en,Twitter for Android,1 am,"['KCON2019THAILAND', 'TwitterBlueroom', 'THEBOYZ']"
73,2019-09-07 01:50:44,th,Twitter for Android,1 am,"['KCON2019THAILAND', 'ตลาดนัดAB6IX', 'ตลาดนัดABNEW']"
74,2019-09-07 01:50:56,th,Twitter for Android,1 am,[]
75,2019-09-07 01:51:13,en,Twitter for iPhone,1 am,['KCON2019THAILAND']
76,2019-09-07 01:51:26,th,Twitter for iPhone,1 am,['KCON2019THAILAND']
77,2019-09-07 01:51:36,th,Twitter for Android,1 am,"['KCON2019THAILAND', 'ATEEZ', 'เอถีณี']"
78,2019-09-07 01:52:50,th,Twitter for Android,1 am,['KCON2019THAILAND']
79,2019-09-07 01:53:19,th,Twitter Web App,1 am,[]
80,2019-09-07 01:53:34,th,Twitter for Android,1 am,[]
81,2019-09-07 01:53:44,en,Twitter for Android,1 am,"['KCON2019THAILAND', 'BVNDIT', 'CHUNGHA', 'Golden_Child']"
82,2019-09-07 01:53:56,th,Twitter for Android,1 am,"['KCON2019THAILAND', 'GOT7', 'KCON19TH']"
83,2019-09-07 01:55:35,th,Twitter for Android,1 am,"['KCON2019THAILAND', 'ตลาดนัดIZONE', 'ตลาดนัดwizone']"
84,2019-09-07 01:56:43,th,Twitter for Android,1 am,"['ZEYU', 'เจ๋ออวี่', 'BOYSTORY', 'KCON2019THAILAND', 'KCON19TH']"
85,2019-09-07 01:57:04,th,Twitter for Android,1 am,"['KCON19TH', 'KCON2019Thailand', 'X1']"
86,2019-09-07 01:57:08,th,Twitter Web App,1 am,['KCON2019THAILAND']
87,2019-09-07 01:57:58,und,Twitter for iPhone,1 am,['KCON2019THAILAND']
88,2019-09-07 01:58:45,th,Twitter for iPhone,1 am,['KCON2019THAILAND']
89,2019-09-07 01:58:49,th,Twitter for Android,1 am,"['KCON2019THAILAND', 'X1']"
90,2019-09-07 01:59:40,th,Twitter for Android,1 am,"['KCON2019Thailand', 'AB6IX']"
91,2019-09-07 01:59:51,th,Twitter for Android,1 am,[]
92,2019-09-07 02:00:43,th,Twitter for Android,2 am,"['KCON2019THAILAND', 'ITZY', 'GIDLE', 'X1']"
93,2019-09-07 02:00:48,th,Twitter for iPhone,2 am,['KCON2019THAILAND']
94,2019-09-07 02:00:59,th,Twitter for iPhone,2 am,[]
95,2019-09-07 02:01:32,th,Twitter for iPhone,2 am,"['KCON2019THAILAND', 'kcon19th']"
96,2019-09-07 02:01:39,th,Twitter for Android,2 am,"['KCON2019THAILAND', 'KCON19TH', 'KCON', 'LETSKCON']"
97,2019-09-07 02:02:20,th,Twitter for iPhone,2 am,[]
98,2019-09-07 02:02:22,th,Twitter for Android,2 am,[]
99,2019-09-07 02:02:39,th,Twitter Web App,2 am,['โพลารอยด์']
100,2019-09-07 02:03:11,th,Twitter for iPhone,2 am,['KCON2019THAILAND']
101,2019-09-07 02:03:12,th,Twitter for iPhone,2 am,"['KCON2019THAILAND', 'GOT7', 'KCON19TH']"
102,2019-09-07 02:03:40,th,Twitter for Android,2 am,"['KCON19TH', 'kcon2019thailand']"
103,2019-09-07 02:04:33,th,Twitter for Android,2 am,"['KCONTHAILAND2019', 'KCON2019Thailand']"
104,2019-09-07 02:04:41,th,Twitter for iPhone,2 am,['KCON2019THAILAND']
105,2019-09-07 02:04:57,th,Twitter for Android,2 am,['KCON2019THAILAND']
106,2019-09-07 02:05:10,th,Twitter for iPhone,2 am,['KCON2019THAILAND']
107,2019-09-07 02:05:36,und,Twitter for iPhone,2 am,"['KCON2019THAILAND', 'GOT7', 'KCON19TH']"
108,2019-09-07 02:05:38,th,Twitter for Android,2 am,"['KCON2019THAILAND', 'KCON2019THAILAND']"
109,2019-09-07 02:05:52,th,Twitter for iPhone,2 am,"['KCON2019THAILAND', 'KCON19TH', 'ตลาดนัดเด็กหลง']"
110,2019-09-07 02:06:20,th,Twitter for iPhone,2 am,[]
111,2019-09-07 02:07:14,th,Twitter for Android,2 am,"['KCON2019THAILAND', 'GOT7', 'KCON19TH']"
112,2019-09-07 02:07:16,ja,Twitter for Android,2 am,"['Apeace', 'KCON2019THAILAND']"
113,2019-09-07 02:07:18,und,Twitter for iPhone,2 am,[]
114,2019-09-07 02:07:58,th,Twitter for iPhone,2 am,['KCON2019THAILAND']
115,2019-09-07 02:08:06,en,Twitter for Android,2 am,[]
116,2019-09-07 02:08:35,th,Twitter for iPhone,2 am,['KCON2019THAILAND']
117,2019-09-07 02:09:06,th,Twitter for Android,2 am,[]
118,2019-09-07 02:09:08,th,Twitter for Android,2 am,"['GOT7FANFESTinBKK_DAY2', 'GOT7FANFESTinBKK_DAY1', 'GOT7FANFESTinBKK_DAY3']"
119,2019-09-07 02:09:22,th,Twitter for Android,2 am,"['KCON2019THAILAND', 'StrayKids']"
120,2019-09-07 02:09:24,th,Twitter for Android,2 am,"['GOT7FANFESTinBKK_DAY2', 'GOT7FANFESTinBKK_DAY1', 'GOT7FANFESTinBKK_DAY3']"
121,2019-09-07 02:09:26,th,Twitter for Android,2 am,[]
122,2019-09-07 02:09:56,th,Twitter for Android,2 am,[]
123,2019-09-07 02:10:14,th,Twitter for Android,2 am,"['GOT7FANFESTinBKK_DAY2', 'GOT7FANFESTinBKK_DAY1', 'GOT7FANFESTinBKK_DAY3']"
124,2019-09-07 02:10:38,th,Twitter for Android,2 am,['แจก']
125,2019-09-07 02:11:02,th,Twitter for Android,2 am,['แจก']
126,2019-09-07 02:11:09,th,Twitter for iPhone,2 am,['StrayKids']
127,2019-09-07 02:11:48,th,Twitter for iPhone,2 am,"['ที่คาดผม', 'ป้ายชื่อติดแท่งไฟ', 'กิ๊ฟ', 'เข็มกลัด', 'ป้ายห้อยคอ', 'KCON2019THAILAND']"
128,2019-09-07 02:11:49,th,Twitter for Android,2 am,['KCON2019THAILAND']
129,2019-09-07 02:11:53,th,Twitter for iPhone,2 am,['KangDanielColorOnMeinBKK']
130,2019-09-07 02:11:55,en,Twitter Web App,2 am,['김우석']
131,2019-09-07 02:12:27,th,Twitter for Android,2 am,['KCON2019THAILAND']
132,2019-09-07 02:12:42,ko,Twitter for iPhone,2 am,[]
133,2019-09-07 02:13:27,th,Twitter for Android,2 am,['GOT7FANFESTinBKK_DAY3']
134,2019-09-07 02:13:46,en,Twitter for iPhone,2 am,['김우석']
135,2019-09-07 02:14:09,th,Twitter for Android,2 am,"['KCON2019THAILAND', 'KCON19TH', 'ตลาดนัดเด็กหลง', 'ตลาดนัดStrayKids']"
136,2019-09-07 02:14:31,en,Twitter for iPhone,2 am,['김우석']
137,2019-09-07 02:14:36,th,Shopee_TH,2 am,"['X1', 'KCON2019THAILAND', 'ShopeeTH']"
138,2019-09-07 02:14:43,en,Twitter for iPhone,2 am,['김우석']
139,2019-09-07 02:14:58,th,Twitter for iPhone,2 am,[]
140,2019-09-07 02:15:21,th,Twitter for iPhone,2 am,[]
141,2019-09-07 02:15:44,th,Twitter for Android,2 am,"['KCON2019THAILAND', 'X1']"
142,2019-09-07 02:16:02,en,Twitter for Android,2 am,[]
143,2019-09-07 02:16:43,th,Twitter for Android,2 am,"['KCON19TH', 'KCONTHAILAND']"
